#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
GeoFor_1.0	C12734914	NW_005081360.1	JH766950.1	GPS_002036928.1
GeoFor_1.0	C12734918	NW_005081394.1	JH766984.1	GPS_002036962.1
GeoFor_1.0	C12734944	NW_005081349.1	JH766939.1	GPS_002036917.1
GeoFor_1.0	C12734978	NW_005081398.1	JH766988.1	GPS_002036966.1
GeoFor_1.0	C12734988	NW_005081438.1	JH767028.1	GPS_002037006.1
GeoFor_1.0	C12734990	NW_005081364.1	JH766954.1	GPS_002036932.1
GeoFor_1.0	C12735002	NW_005081363.1	JH766953.1	GPS_002036931.1
GeoFor_1.0	C12735006	NW_005081370.1	JH766960.1	GPS_002036938.1
GeoFor_1.0	C12735016	NW_005081401.1	JH766991.1	GPS_002036969.1
GeoFor_1.0	C12735024	NW_005081409.1	JH766999.1	GPS_002036977.1
GeoFor_1.0	C12735028	NW_005081373.1	JH766963.1	GPS_002036941.1
GeoFor_1.0	C12735178	NW_005081404.1	JH766994.1	GPS_002036972.1
GeoFor_1.0	C12735180	NW_005081426.1	JH767016.1	GPS_002036994.1
GeoFor_1.0	C12735210	NW_005081431.1	JH767021.1	GPS_002036999.1
GeoFor_1.0	C12735256	NW_005081355.1	JH766945.1	GPS_002036923.1
GeoFor_1.0	C12735266	NW_005081390.1	JH766980.1	GPS_002036958.1
GeoFor_1.0	C12735330	NW_005081428.1	JH767018.1	GPS_002036996.1
GeoFor_1.0	C12735356	NW_005081399.1	JH766989.1	GPS_002036967.1
GeoFor_1.0	C12735368	NW_005081425.1	JH767015.1	GPS_002036993.1
GeoFor_1.0	C12735370	NW_005081375.1	JH766965.1	GPS_002036943.1
GeoFor_1.0	C12735400	NW_005081434.1	JH767024.1	GPS_002037002.1
GeoFor_1.0	C12735404	NW_005081436.1	JH767026.1	GPS_002037004.1
GeoFor_1.0	C12735424	NW_005081381.1	JH766971.1	GPS_002036949.1
GeoFor_1.0	C12735462	NW_005081405.1	JH766995.1	GPS_002036973.1
GeoFor_1.0	C12735494	NW_005081356.1	JH766946.1	GPS_002036924.1
GeoFor_1.0	C12735540	NW_005081429.1	JH767019.1	GPS_002036997.1
GeoFor_1.0	C12735542	NW_005081393.1	JH766983.1	GPS_002036961.1
GeoFor_1.0	C12735548	NW_005081397.1	JH766987.1	GPS_002036965.1
GeoFor_1.0	C12735596	NW_005081422.1	JH767012.1	GPS_002036990.1
GeoFor_1.0	C12735648	NW_005081407.1	JH766997.1	GPS_002036975.1
GeoFor_1.0	C12735674	NW_005081415.1	JH767005.1	GPS_002036983.1
