#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
GeoFor_1.0	C13510900	NW_005060511.1	JH746101.1	GPS_002016079.1
GeoFor_1.0	C13511044	NW_005060505.1	JH746095.1	GPS_002016073.1
GeoFor_1.0	C13511074	NW_005060504.1	JH746094.1	GPS_002016072.1
GeoFor_1.0	C13511188	NW_005060503.1	JH746093.1	GPS_002016071.1
GeoFor_1.0	C13511238	NW_005060506.1	JH746096.1	GPS_002016074.1
GeoFor_1.0	C13511342	NW_005060501.1	JH746091.1	GPS_002016069.1
GeoFor_1.0	C13511392	NW_005060500.1	JH746090.1	GPS_002016068.1
GeoFor_1.0	C13511484	NW_005060499.1	JH746089.1	GPS_002016067.1
GeoFor_1.0	C13511498	NW_005060497.1	JH746087.1	GPS_002016065.1
GeoFor_1.0	C13511518	NW_005060502.1	JH746092.1	GPS_002016070.1
GeoFor_1.0	C13511588	NW_005060498.1	JH746088.1	GPS_002016066.1
GeoFor_1.0	C13511808	NW_005060495.1	JH746085.1	GPS_002016063.1
GeoFor_1.0	C13511818	NW_005060494.1	JH746084.1	GPS_002016062.1
GeoFor_1.0	C13511934	NW_005060496.1	JH746086.1	GPS_002016064.1
GeoFor_1.0	C13512002	NW_005060490.1	JH746080.1	GPS_002016058.1
GeoFor_1.0	C13512044	NW_005060489.1	JH746079.1	GPS_002016057.1
GeoFor_1.0	C13512088	NW_005060488.1	JH746078.1	GPS_002016056.1
GeoFor_1.0	C13512230	NW_005060486.1	JH746076.1	GPS_002016054.1
GeoFor_1.0	C13512284	NW_005060491.1	JH746081.1	GPS_002016059.1
GeoFor_1.0	C13512290	NW_005060493.1	JH746083.1	GPS_002016061.1
GeoFor_1.0	C13512378	NW_005060484.1	JH746074.1	GPS_002016052.1
GeoFor_1.0	C13512400	NW_005060483.1	JH746073.1	GPS_002016051.1
GeoFor_1.0	C13512556	NW_005060485.1	JH746075.1	GPS_002016053.1
GeoFor_1.0	C13512570	NW_005060482.1	JH746072.1	GPS_002016050.1
GeoFor_1.0	C13512710	NW_005060476.1	JH746066.1	GPS_002016044.1
GeoFor_1.0	C13512714	NW_005060481.1	JH746071.1	GPS_002016049.1
GeoFor_1.0	C13512840	NW_005060479.1	JH746069.1	GPS_002016047.1
GeoFor_1.0	C13512932	NW_005060480.1	JH746070.1	GPS_002016048.1
GeoFor_1.0	C13512938	NW_005060477.1	JH746067.1	GPS_002016045.1
GeoFor_1.0	C13513160	NW_005060474.1	JH746064.1	GPS_002016042.1
GeoFor_1.0	C13513190	NW_005060475.1	JH746065.1	GPS_002016043.1
GeoFor_1.0	C13513316	NW_005060466.1	JH746056.1	GPS_002016034.1
GeoFor_1.0	C13513380	NW_005060468.1	JH746058.1	GPS_002016036.1
GeoFor_1.0	C13513404	NW_005060469.1	JH746059.1	GPS_002016037.1
GeoFor_1.0	C13513490	NW_005060470.1	JH746060.1	GPS_002016038.1
GeoFor_1.0	C13513562	NW_005060472.1	JH746062.1	GPS_002016040.1
GeoFor_1.0	C13513564	NW_005060467.1	JH746057.1	GPS_002016035.1
GeoFor_1.0	C13513580	NW_005060465.1	JH746055.1	GPS_002016033.1
GeoFor_1.0	C13513592	NW_005060471.1	JH746061.1	GPS_002016039.1
GeoFor_1.0	C13513624	NW_005060463.1	JH746053.1	GPS_002016031.1
GeoFor_1.0	C13513656	NW_005060458.1	JH746048.1	GPS_002016026.1
GeoFor_1.0	C13513704	NW_005060464.1	JH746054.1	GPS_002016032.1
GeoFor_1.0	C13513796	NW_005060462.1	JH746052.1	GPS_002016030.1
GeoFor_1.0	C13513830	NW_005060459.1	JH746049.1	GPS_002016027.1
GeoFor_1.0	C13513874	NW_005060460.1	JH746050.1	GPS_002016028.1
GeoFor_1.0	C13513936	NW_005060461.1	JH746051.1	GPS_002016029.1
GeoFor_1.0	C13514268	NW_005060457.1	JH746047.1	GPS_002016025.1
GeoFor_1.0	C13514386	NW_005060452.1	JH746042.1	GPS_002016020.1
GeoFor_1.0	C13514388	NW_005060455.1	JH746045.1	GPS_002016023.1
GeoFor_1.0	C13514486	NW_005060453.1	JH746043.1	GPS_002016021.1
GeoFor_1.0	C13514518	NW_005060450.1	JH746040.1	GPS_002016018.1
GeoFor_1.0	C13514526	NW_005060451.1	JH746041.1	GPS_002016019.1
GeoFor_1.0	C13514590	NW_005060456.1	JH746046.1	GPS_002016024.1
GeoFor_1.0	C13514602	NW_005060454.1	JH746044.1	GPS_002016022.1
GeoFor_1.0	C13514612	NW_005060448.1	JH746038.1	GPS_002016016.1
GeoFor_1.0	C13514768	NW_005060445.1	JH746035.1	GPS_002016013.1
GeoFor_1.0	C13514810	NW_005060449.1	JH746039.1	GPS_002016017.1
GeoFor_1.0	C13514922	NW_005060446.1	JH746036.1	GPS_002016014.1
GeoFor_1.0	C13514944	NW_005060440.1	JH746030.1	GPS_002016008.1
GeoFor_1.0	C13514988	NW_005060439.1	JH746029.1	GPS_002016007.1
GeoFor_1.0	C13515122	NW_005060441.1	JH746031.1	GPS_002016009.1
GeoFor_1.0	C13515150	NW_005060444.1	JH746034.1	GPS_002016012.1
GeoFor_1.0	C13515212	NW_005060442.1	JH746032.1	GPS_002016010.1
GeoFor_1.0	C13515256	NW_005060443.1	JH746033.1	GPS_002016011.1
GeoFor_1.0	C13515344	NW_005060438.1	JH746028.1	GPS_002016006.1
GeoFor_1.0	C13515464	NW_005060437.1	JH746027.1	GPS_002016005.1
GeoFor_1.0	C13515568	NW_005060436.1	JH746026.1	GPS_002016004.1
GeoFor_1.0	C13515580	NW_005060435.1	JH746025.1	GPS_002016003.1
GeoFor_1.0	C13515658	NW_005060432.1	JH746022.1	GPS_002016000.1
GeoFor_1.0	C13515836	NW_005060433.1	JH746023.1	GPS_002016001.1
GeoFor_1.0	C13515844	NW_005060431.1	JH746021.1	GPS_002015999.1
GeoFor_1.0	C13515848	NW_005060434.1	JH746024.1	GPS_002016002.1
GeoFor_1.0	C13516000	NW_005060425.1	JH746015.1	GPS_002015993.1
GeoFor_1.0	C13516004	NW_005060429.1	JH746019.1	GPS_002015997.1
GeoFor_1.0	C13516036	NW_005060426.1	JH746016.1	GPS_002015994.1
GeoFor_1.0	C13516150	NW_005060430.1	JH746020.1	GPS_002015998.1
GeoFor_1.0	C13516178	NW_005060427.1	JH746017.1	GPS_002015995.1
GeoFor_1.0	C13516258	NW_005060428.1	JH746018.1	GPS_002015996.1
GeoFor_1.0	C13516312	NW_005060422.1	JH746012.1	GPS_002015990.1
GeoFor_1.0	C13516342	NW_005060420.1	JH746010.1	GPS_002015988.1
GeoFor_1.0	C13516496	NW_005060421.1	JH746011.1	GPS_002015989.1
GeoFor_1.0	C13516506	NW_005060424.1	JH746014.1	GPS_002015992.1
GeoFor_1.0	C13516576	NW_005060419.1	JH746009.1	GPS_002015987.1
GeoFor_1.0	C13516598	NW_005060423.1	JH746013.1	GPS_002015991.1
GeoFor_1.0	C13516676	NW_005060416.1	JH746006.1	GPS_002015984.1
GeoFor_1.0	C13516792	NW_005060417.1	JH746007.1	GPS_002015985.1
GeoFor_1.0	C13516966	NW_005060413.1	JH746003.1	GPS_002015981.1
GeoFor_1.0	C13517024	NW_005060412.1	JH746002.1	GPS_002015980.1
GeoFor_1.0	C13517030	NW_005060408.1	JH745998.1	GPS_002015976.1
GeoFor_1.0	C13517116	NW_005060415.1	JH746005.1	GPS_002015983.1
GeoFor_1.0	C13517132	NW_005060409.1	JH745999.1	GPS_002015977.1
GeoFor_1.0	C13517200	NW_005060414.1	JH746004.1	GPS_002015982.1
GeoFor_1.0	C13517204	NW_005060411.1	JH746001.1	GPS_002015979.1
GeoFor_1.0	C13517210	NW_005060410.1	JH746000.1	GPS_002015978.1
GeoFor_1.0	C13517462	NW_005060405.1	JH745995.1	GPS_002015973.1
GeoFor_1.0	C13517466	NW_005060406.1	JH745996.1	GPS_002015974.1
GeoFor_1.0	C13517478	NW_005060407.1	JH745997.1	GPS_002015975.1
GeoFor_1.0	C13517538	NW_005060399.1	JH745989.1	GPS_002015967.1
GeoFor_1.0	C13517644	NW_005060400.1	JH745990.1	GPS_002015968.1
GeoFor_1.0	C13517656	NW_005060402.1	JH745992.1	GPS_002015970.1
GeoFor_1.0	C13517710	NW_005060403.1	JH745993.1	GPS_002015971.1
GeoFor_1.0	C13517742	NW_005060397.1	JH745987.1	GPS_002015965.1
GeoFor_1.0	C13517772	NW_005060401.1	JH745991.1	GPS_002015969.1
GeoFor_1.0	C13517792	NW_005060404.1	JH745994.1	GPS_002015972.1
GeoFor_1.0	C13518008	NW_005060396.1	JH745986.1	GPS_002015964.1
GeoFor_1.0	C13518022	NW_005060394.1	JH745984.1	GPS_002015962.1
GeoFor_1.0	C13518092	NW_005060395.1	JH745985.1	GPS_002015963.1
GeoFor_1.0	C13518214	NW_005060393.1	JH745983.1	GPS_002015961.1
GeoFor_1.0	C13518284	NW_005060392.1	JH745982.1	GPS_002015960.1
GeoFor_1.0	C13518398	NW_005060386.1	JH745976.1	GPS_002015954.1
GeoFor_1.0	C13518424	NW_005060388.1	JH745978.1	GPS_002015956.1
GeoFor_1.0	C13518442	NW_005060387.1	JH745977.1	GPS_002015955.1
GeoFor_1.0	C13518452	NW_005060391.1	JH745981.1	GPS_002015959.1
GeoFor_1.0	C13518504	NW_005060384.1	JH745974.1	GPS_002015952.1
GeoFor_1.0	C13518584	NW_005060385.1	JH745975.1	GPS_002015953.1
GeoFor_1.0	C13518666	NW_005060389.1	JH745979.1	GPS_002015957.1
GeoFor_1.0	C13518822	NW_005060381.1	JH745971.1	GPS_002015949.1
GeoFor_1.0	C13518866	NW_005060380.1	JH745970.1	GPS_002015948.1
GeoFor_1.0	C13518914	NW_005060383.1	JH745973.1	GPS_002015951.1
GeoFor_1.0	C13518928	NW_005060382.1	JH745972.1	GPS_002015950.1
GeoFor_1.0	C13518992	NW_005060375.1	JH745965.1	GPS_002015943.1
GeoFor_1.0	C13519016	NW_005060378.1	JH745968.1	GPS_002015946.1
GeoFor_1.0	C13519208	NW_005060376.1	JH745966.1	GPS_002015944.1
GeoFor_1.0	C13519264	NW_005060374.1	JH745964.1	GPS_002015942.1
GeoFor_1.0	C13519310	NW_005060377.1	JH745967.1	GPS_002015945.1
GeoFor_1.0	C13519386	NW_005060370.1	JH745960.1	GPS_002015938.1
GeoFor_1.0	C13519560	NW_005060372.1	JH745962.1	GPS_002015940.1
GeoFor_1.0	C13519620	NW_005060371.1	JH745961.1	GPS_002015939.1
GeoFor_1.0	C13519700	NW_005060368.1	JH745958.1	GPS_002015936.1
GeoFor_1.0	C13519734	NW_005060367.1	JH745957.1	GPS_002015935.1
GeoFor_1.0	C13519738	NW_005060369.1	JH745959.1	GPS_002015937.1
GeoFor_1.0	C13520032	NW_005060366.1	JH745956.1	GPS_002015934.1
GeoFor_1.0	C13520068	NW_005060364.1	JH745954.1	GPS_002015932.1
GeoFor_1.0	C13520200	NW_005060365.1	JH745955.1	GPS_002015933.1
GeoFor_1.0	C13520414	NW_005060362.1	JH745952.1	GPS_002015930.1
GeoFor_1.0	C13520478	NW_005060359.1	JH745949.1	GPS_002015927.1
GeoFor_1.0	C13520534	NW_005060363.1	JH745953.1	GPS_002015931.1
GeoFor_1.0	C13520540	NW_005060361.1	JH745951.1	GPS_002015929.1
GeoFor_1.0	C13520650	NW_005060358.1	JH745948.1	GPS_002015926.1
GeoFor_1.0	C13520814	NW_005060357.1	JH745947.1	GPS_002015925.1
GeoFor_1.0	C13520944	NW_005060354.1	JH745944.1	GPS_002015922.1
GeoFor_1.0	C13520964	NW_005060353.1	JH745943.1	GPS_002015921.1
GeoFor_1.0	C13520992	NW_005060352.1	JH745942.1	GPS_002015920.1
GeoFor_1.0	C13521008	NW_005060350.1	JH745940.1	GPS_002015918.1
GeoFor_1.0	C13521058	NW_005060355.1	JH745945.1	GPS_002015923.1
GeoFor_1.0	C13521068	NW_005060351.1	JH745941.1	GPS_002015919.1
GeoFor_1.0	C13521084	NW_005060348.1	JH745938.1	GPS_002015916.1
GeoFor_1.0	C13521094	NW_005060349.1	JH745939.1	GPS_002015917.1
GeoFor_1.0	C13521134	NW_005060347.1	JH745937.1	GPS_002015915.1
GeoFor_1.0	C13521238	NW_005060345.1	JH745935.1	GPS_002015913.1
GeoFor_1.0	C13521378	NW_005060346.1	JH745936.1	GPS_002015914.1
GeoFor_1.0	C13521496	NW_005060342.1	JH745932.1	GPS_002015910.1
GeoFor_1.0	C13521536	NW_005060343.1	JH745933.1	GPS_002015911.1
GeoFor_1.0	C13521642	NW_005060344.1	JH745934.1	GPS_002015912.1
GeoFor_1.0	C13521754	NW_005060338.1	JH745928.1	GPS_002015906.1
GeoFor_1.0	C13521800	NW_005060341.1	JH745931.1	GPS_002015909.1
GeoFor_1.0	C13521870	NW_005060335.1	JH745925.1	GPS_002015903.1
GeoFor_1.0	C13521886	NW_005060339.1	JH745929.1	GPS_002015907.1
GeoFor_1.0	C13521934	NW_005060337.1	JH745927.1	GPS_002015905.1
GeoFor_1.0	C13521986	NW_005060336.1	JH745926.1	GPS_002015904.1
GeoFor_1.0	C13522394	NW_005060334.1	JH745924.1	GPS_002015902.1
GeoFor_1.0	C13522584	NW_005060331.1	JH745921.1	GPS_002015899.1
GeoFor_1.0	C13522668	NW_005060329.1	JH745919.1	GPS_002015897.1
GeoFor_1.0	C13522704	NW_005060330.1	JH745920.1	GPS_002015898.1
GeoFor_1.0	C13522716	NW_005060333.1	JH745923.1	GPS_002015901.1
GeoFor_1.0	C13522746	NW_005060326.1	JH745916.1	GPS_002015894.1
GeoFor_1.0	C13522768	NW_005060323.1	JH745913.1	GPS_002015891.1
GeoFor_1.0	C13522786	NW_005060328.1	JH745918.1	GPS_002015896.1
GeoFor_1.0	C13522830	NW_005060325.1	JH745915.1	GPS_002015893.1
GeoFor_1.0	C13522926	NW_005060322.1	JH745912.1	GPS_002015890.1
GeoFor_1.0	C13522956	NW_005060327.1	JH745917.1	GPS_002015895.1
GeoFor_1.0	C13522992	NW_005060324.1	JH745914.1	GPS_002015892.1
GeoFor_1.0	C13523036	NW_005060318.1	JH745908.1	GPS_002015886.1
GeoFor_1.0	C13523106	NW_005060321.1	JH745911.1	GPS_002015889.1
GeoFor_1.0	C13523202	NW_005060317.1	JH745907.1	GPS_002015885.1
GeoFor_1.0	C13523280	NW_005060320.1	JH745910.1	GPS_002015888.1
GeoFor_1.0	C13523348	NW_005060316.1	JH745906.1	GPS_002015884.1
GeoFor_1.0	C13523426	NW_005060315.1	JH745905.1	GPS_002015883.1
GeoFor_1.0	C13523480	NW_005060314.1	JH745904.1	GPS_002015882.1
GeoFor_1.0	C13523498	NW_005060312.1	JH745902.1	GPS_002015880.1
GeoFor_1.0	C13523712	NW_005060309.1	JH745899.1	GPS_002015877.1
GeoFor_1.0	C13523752	NW_005060307.1	JH745897.1	GPS_002015875.1
GeoFor_1.0	C13523832	NW_005060310.1	JH745900.1	GPS_002015878.1
GeoFor_1.0	C13523836	NW_005060308.1	JH745898.1	GPS_002015876.1
GeoFor_1.0	C13523864	NW_005060311.1	JH745901.1	GPS_002015879.1
GeoFor_1.0	C13523868	NW_005060304.1	JH745894.1	GPS_002015872.1
GeoFor_1.0	C13523944	NW_005060306.1	JH745896.1	GPS_002015874.1
GeoFor_1.0	C13523952	NW_005060305.1	JH745895.1	GPS_002015873.1
GeoFor_1.0	C13524026	NW_005060301.1	JH745891.1	GPS_002015869.1
GeoFor_1.0	C13524120	NW_005060303.1	JH745893.1	GPS_002015871.1
GeoFor_1.0	C13524150	NW_005060300.1	JH745890.1	GPS_002015868.1
GeoFor_1.0	C13524246	NW_005060302.1	JH745892.1	GPS_002015870.1
GeoFor_1.0	C13524290	NW_005060299.1	JH745889.1	GPS_002015867.1
GeoFor_1.0	C13524340	NW_005060294.1	JH745884.1	GPS_002015862.1
GeoFor_1.0	C13524344	NW_005060296.1	JH745886.1	GPS_002015864.1
GeoFor_1.0	C13524360	NW_005060295.1	JH745885.1	GPS_002015863.1
GeoFor_1.0	C13524416	NW_005060297.1	JH745887.1	GPS_002015865.1
GeoFor_1.0	C13524552	NW_005060298.1	JH745888.1	GPS_002015866.1
GeoFor_1.0	C13524646	NW_005060289.1	JH745879.1	GPS_002015857.1
GeoFor_1.0	C13524786	NW_005060291.1	JH745881.1	GPS_002015859.1
GeoFor_1.0	C13524800	NW_005060293.1	JH745883.1	GPS_002015861.1
GeoFor_1.0	C13524846	NW_005060292.1	JH745882.1	GPS_002015860.1
GeoFor_1.0	C13525010	NW_005060285.1	JH745875.1	GPS_002015853.1
GeoFor_1.0	C13525020	NW_005060287.1	JH745877.1	GPS_002015855.1
GeoFor_1.0	C13525028	NW_005060282.1	JH745872.1	GPS_002015850.1
GeoFor_1.0	C13525074	NW_005060286.1	JH745876.1	GPS_002015854.1
GeoFor_1.0	C13525092	NW_005060283.1	JH745873.1	GPS_002015851.1
GeoFor_1.0	C13525180	NW_005060284.1	JH745874.1	GPS_002015852.1
GeoFor_1.0	C13525238	NW_005060288.1	JH745878.1	GPS_002015856.1
GeoFor_1.0	C13525394	NW_005060280.1	JH745870.1	GPS_002015848.1
GeoFor_1.0	C13525522	NW_005060281.1	JH745871.1	GPS_002015849.1
GeoFor_1.0	C13525598	NW_005060277.1	JH745867.1	GPS_002015845.1
GeoFor_1.0	C13525612	NW_005060274.1	JH745864.1	GPS_002015842.1
GeoFor_1.0	C13525666	NW_005060279.1	JH745869.1	GPS_002015847.1
GeoFor_1.0	C13525738	NW_005060276.1	JH745866.1	GPS_002015844.1
GeoFor_1.0	C13525768	NW_005060275.1	JH745865.1	GPS_002015843.1
GeoFor_1.0	C13525814	NW_005060278.1	JH745868.1	GPS_002015846.1
GeoFor_1.0	C13525938	NW_005060272.1	JH745862.1	GPS_002015840.1
GeoFor_1.0	C13526030	NW_005060271.1	JH745861.1	GPS_002015839.1
GeoFor_1.0	C13526104	NW_005060269.1	JH745859.1	GPS_002015837.1
GeoFor_1.0	C13526120	NW_005060270.1	JH745860.1	GPS_002015838.1
GeoFor_1.0	C13526298	NW_005060268.1	JH745858.1	GPS_002015836.1
GeoFor_1.0	C13526314	NW_005060266.1	JH745856.1	GPS_002015834.1
GeoFor_1.0	C13526344	NW_005060262.1	JH745852.1	GPS_002015830.1
GeoFor_1.0	C13526362	NW_005060267.1	JH745857.1	GPS_002015835.1
GeoFor_1.0	C13526382	NW_005060263.1	JH745853.1	GPS_002015831.1
GeoFor_1.0	C13526400	NW_005060264.1	JH745854.1	GPS_002015832.1
GeoFor_1.0	C13526460	NW_005060261.1	JH745851.1	GPS_002015829.1
GeoFor_1.0	C13526578	NW_005060260.1	JH745850.1	GPS_002015828.1
GeoFor_1.0	C13526852	NW_005060258.1	JH745848.1	GPS_002015826.1
GeoFor_1.0	C13526924	NW_005060259.1	JH745849.1	GPS_002015827.1
GeoFor_1.0	C13526962	NW_005060256.1	JH745846.1	GPS_002015824.1
GeoFor_1.0	C13526998	NW_005060255.1	JH745845.1	GPS_002015823.1
GeoFor_1.0	C13527044	NW_005060254.1	JH745844.1	GPS_002015822.1
GeoFor_1.0	C13527112	NW_005060253.1	JH745843.1	GPS_002015821.1
GeoFor_1.0	C13527302	NW_005060246.1	JH745836.1	GPS_002015814.1
GeoFor_1.0	C13527390	NW_005060250.1	JH745840.1	GPS_002015818.1
GeoFor_1.0	C13527478	NW_005060252.1	JH745842.1	GPS_002015820.1
GeoFor_1.0	C13527480	NW_005060247.1	JH745837.1	GPS_002015815.1
GeoFor_1.0	C13527494	NW_005060245.1	JH745835.1	GPS_002015813.1
GeoFor_1.0	C13527518	NW_005060251.1	JH745841.1	GPS_002015819.1
GeoFor_1.0	C13527544	NW_005060248.1	JH745838.1	GPS_002015816.1
GeoFor_1.0	C13527576	NW_005060249.1	JH745839.1	GPS_002015817.1
GeoFor_1.0	C13527620	NW_005060244.1	JH745834.1	GPS_002015812.1
GeoFor_1.0	C13527626	NW_005060243.1	JH745833.1	GPS_002015811.1
GeoFor_1.0	C13527842	NW_005060242.1	JH745832.1	GPS_002015810.1
GeoFor_1.0	C13527908	NW_005060237.1	JH745827.1	GPS_002015805.1
GeoFor_1.0	C13527920	NW_005060241.1	JH745831.1	GPS_002015809.1
GeoFor_1.0	C13527946	NW_005060238.1	JH745828.1	GPS_002015806.1
GeoFor_1.0	C13527982	NW_005060240.1	JH745830.1	GPS_002015808.1
GeoFor_1.0	C13528136	NW_005060239.1	JH745829.1	GPS_002015807.1
GeoFor_1.0	C13528298	NW_005060235.1	JH745825.1	GPS_002015803.1
GeoFor_1.0	C13528406	NW_005060234.1	JH745824.1	GPS_002015802.1
GeoFor_1.0	C13528428	NW_005060236.1	JH745826.1	GPS_002015804.1
GeoFor_1.0	C13528534	NW_005060233.1	JH745823.1	GPS_002015801.1
GeoFor_1.0	C13528564	NW_005060232.1	JH745822.1	GPS_002015800.1
GeoFor_1.0	C13528666	NW_005060230.1	JH745820.1	GPS_002015798.1
GeoFor_1.0	C13528696	NW_005060227.1	JH745817.1	GPS_002015795.1
GeoFor_1.0	C13528712	NW_005060228.1	JH745818.1	GPS_002015796.1
GeoFor_1.0	C13528744	NW_005060229.1	JH745819.1	GPS_002015797.1
GeoFor_1.0	C13528750	NW_005060226.1	JH745816.1	GPS_002015794.1
GeoFor_1.0	C13528812	NW_005060224.1	JH745814.1	GPS_002015792.1
GeoFor_1.0	C13528820	NW_005060222.1	JH745812.1	GPS_002015790.1
GeoFor_1.0	C13529032	NW_005060220.1	JH745810.1	GPS_002015788.1
GeoFor_1.0	C13529084	NW_005060225.1	JH745815.1	GPS_002015793.1
GeoFor_1.0	C13529094	NW_005060223.1	JH745813.1	GPS_002015791.1
GeoFor_1.0	C13529108	NW_005060221.1	JH745811.1	GPS_002015789.1
GeoFor_1.0	C13529174	NW_005060219.1	JH745809.1	GPS_002015787.1
GeoFor_1.0	C13529246	NW_005060216.1	JH745806.1	GPS_002015784.1
GeoFor_1.0	C13529266	NW_005060212.1	JH745802.1	GPS_002015780.1
GeoFor_1.0	C13529274	NW_005060217.1	JH745807.1	GPS_002015785.1
GeoFor_1.0	C13529276	NW_005060213.1	JH745803.1	GPS_002015781.1
GeoFor_1.0	C13529280	NW_005060214.1	JH745804.1	GPS_002015782.1
GeoFor_1.0	C13529424	NW_005060218.1	JH745808.1	GPS_002015786.1
GeoFor_1.0	C13529528	NW_005060210.1	JH745800.1	GPS_002015778.1
GeoFor_1.0	C13529560	NW_005060211.1	JH745801.1	GPS_002015779.1
GeoFor_1.0	C13529690	NW_005060209.1	JH745799.1	GPS_002015777.1
GeoFor_1.0	C13529708	NW_005060208.1	JH745798.1	GPS_002015776.1
GeoFor_1.0	C13529750	NW_005060207.1	JH745797.1	GPS_002015775.1
GeoFor_1.0	C13529828	NW_005060205.1	JH745795.1	GPS_002015773.1
GeoFor_1.0	C13530008	NW_005060206.1	JH745796.1	GPS_002015774.1
GeoFor_1.0	C13530160	NW_005060202.1	JH745792.1	GPS_002015770.1
GeoFor_1.0	C13530178	NW_005060204.1	JH745794.1	GPS_002015772.1
GeoFor_1.0	C13530286	NW_005060200.1	JH745790.1	GPS_002015768.1
GeoFor_1.0	C13530310	NW_005060203.1	JH745793.1	GPS_002015771.1
GeoFor_1.0	C13530334	NW_005060199.1	JH745789.1	GPS_002015767.1
GeoFor_1.0	C13530478	NW_005060196.1	JH745786.1	GPS_002015764.1
GeoFor_1.0	C13530502	NW_005060195.1	JH745785.1	GPS_002015763.1
GeoFor_1.0	C13530572	NW_005060198.1	JH745788.1	GPS_002015766.1
GeoFor_1.0	C13530576	NW_005060197.1	JH745787.1	GPS_002015765.1
GeoFor_1.0	C13530768	NW_005060191.1	JH745781.1	GPS_002015759.1
GeoFor_1.0	C13530788	NW_005060190.1	JH745780.1	GPS_002015758.1
GeoFor_1.0	C13530796	NW_005060193.1	JH745783.1	GPS_002015761.1
GeoFor_1.0	C13530800	NW_005060188.1	JH745778.1	GPS_002015756.1
GeoFor_1.0	C13530816	NW_005060189.1	JH745779.1	GPS_002015757.1
GeoFor_1.0	C13530832	NW_005060187.1	JH745777.1	GPS_002015755.1
GeoFor_1.0	C13530966	NW_005060192.1	JH745782.1	GPS_002015760.1
GeoFor_1.0	C13530982	NW_005060194.1	JH745784.1	GPS_002015762.1
GeoFor_1.0	C13531036	NW_005060184.1	JH745774.1	GPS_002015752.1
GeoFor_1.0	C13531142	NW_005060186.1	JH745776.1	GPS_002015754.1
GeoFor_1.0	C13531298	NW_005060182.1	JH745772.1	GPS_002015750.1
GeoFor_1.0	C13531520	NW_005060179.1	JH745769.1	GPS_002015747.1
GeoFor_1.0	C13531600	NW_005060181.1	JH745771.1	GPS_002015749.1
GeoFor_1.0	C13531650	NW_005060175.1	JH745765.1	GPS_002015743.1
GeoFor_1.0	C13531758	NW_005060174.1	JH745764.1	GPS_002015742.1
GeoFor_1.0	C13531818	NW_005060176.1	JH745766.1	GPS_002015744.1
GeoFor_1.0	C13531864	NW_005060177.1	JH745767.1	GPS_002015745.1
GeoFor_1.0	C13531894	NW_005060172.1	JH745762.1	GPS_002015740.1
GeoFor_1.0	C13531924	NW_005060160.1	JH745750.1	GPS_002015728.1
GeoFor_1.0	C13531940	NW_005060163.1	JH745753.1	GPS_002015731.1
GeoFor_1.0	C13531976	NW_005060162.1	JH745752.1	GPS_002015730.1
GeoFor_1.0	C13531990	NW_005060166.1	JH745756.1	GPS_002015734.1
GeoFor_1.0	C13532016	NW_005060165.1	JH745755.1	GPS_002015733.1
GeoFor_1.0	C13532030	NW_005060170.1	JH745760.1	GPS_002015738.1
GeoFor_1.0	C13532032	NW_005060168.1	JH745758.1	GPS_002015736.1
GeoFor_1.0	C13532042	NW_005060169.1	JH745759.1	GPS_002015737.1
GeoFor_1.0	C13532044	NW_005060167.1	JH745757.1	GPS_002015735.1
GeoFor_1.0	C13532146	NW_005060171.1	JH745761.1	GPS_002015739.1
GeoFor_1.0	C13532172	NW_005060164.1	JH745754.1	GPS_002015732.1
GeoFor_1.0	C13532270	NW_005060158.1	JH745748.1	GPS_002015726.1
GeoFor_1.0	C13532290	NW_005060159.1	JH745749.1	GPS_002015727.1
GeoFor_1.0	C13532382	NW_005060157.1	JH745747.1	GPS_002015725.1
GeoFor_1.0	C13532568	NW_005060154.1	JH745744.1	GPS_002015722.1
GeoFor_1.0	C13532602	NW_005060156.1	JH745746.1	GPS_002015724.1
GeoFor_1.0	C13532618	NW_005060155.1	JH745745.1	GPS_002015723.1
GeoFor_1.0	C13532638	NW_005060150.1	JH745740.1	GPS_002015718.1
GeoFor_1.0	C13532740	NW_005060152.1	JH745742.1	GPS_002015720.1
GeoFor_1.0	C13532744	NW_005060151.1	JH745741.1	GPS_002015719.1
GeoFor_1.0	C13532770	NW_005060147.1	JH745737.1	GPS_002015715.1
GeoFor_1.0	C13532780	NW_005060146.1	JH745736.1	GPS_002015714.1
GeoFor_1.0	C13532888	NW_005060149.1	JH745739.1	GPS_002015717.1
GeoFor_1.0	C13532896	NW_005060148.1	JH745738.1	GPS_002015716.1
GeoFor_1.0	C13533096	NW_005060143.1	JH745733.1	GPS_002015711.1
GeoFor_1.0	C13533136	NW_005060142.1	JH745732.1	GPS_002015710.1
GeoFor_1.0	C13533188	NW_005060140.1	JH745730.1	GPS_002015708.1
GeoFor_1.0	C13533242	NW_005060141.1	JH745731.1	GPS_002015709.1
GeoFor_1.0	C13533272	NW_005060144.1	JH745734.1	GPS_002015712.1
GeoFor_1.0	C13533622	NW_005060139.1	JH745729.1	GPS_002015707.1
GeoFor_1.0	C13533684	NW_005060137.1	JH745727.1	GPS_002015705.1
GeoFor_1.0	C13533942	NW_005060136.1	JH745726.1	GPS_002015704.1
